2026-06-16,U308.DE,12.256
2026-06-16,XDWT.DE,122.76
2026-06-16,ASWG.DE,7.064
2026-06-16,EXUS.DE,39.195
2026-06-17,U308.DE,12.474
2026-06-17,XDWT.DE,123.1
2026-06-17,ASWG.DE,7.097
2026-06-17,EXUS.DE,39.46
2026-06-18,U308.DE,12.53
2026-06-18,XDWT.DE,125.18
2026-06-18,ASWG.DE,6.979
2026-06-18,EXUS.DE,39.455
2026-06-19,U308.DE,12.37
2026-06-19,XDWT.DE,125.74
2026-06-19,ASWG.DE,7.063
2026-06-19,EXUS.DE,39.37
2026-06-20,U308.DE,12.37
2026-06-20,XDWT.DE,125.74
2026-06-20,ASWG.DE,7.063
2026-06-20,EXUS.DE,39.37
2026-06-21,U308.DE,12.37
2026-06-21,XDWT.DE,125.74
2026-06-21,ASWG.DE,7.063
2026-06-21,EXUS.DE,39.37
2026-06-22,U308.DE,12.302
2026-06-22,XDWT.DE,126.26
2026-06-22,ASWG.DE,6.947
2026-06-22,EXUS.DE,39.62
2026-06-23,U308.DE,12.206
2026-06-23,XDWT.DE,122.72
2026-06-23,ASWG.DE,7.036
2026-06-23,EXUS.DE,39.145
2026-06-24,U308.DE,11.944
2026-06-24,XDWT.DE,122.78
2026-06-24,ASWG.DE,6.953
2026-06-24,EXUS.DE,39.16
2026-06-25,U308.DE,11.902
2026-06-25,XDWT.DE,123.88
2026-06-25,ASWG.DE,6.842
2026-06-25,EXUS.DE,39.5
2026-06-26,U308.DE,11.456
2026-06-26,XDWT.DE,118.4
2026-06-26,ASWG.DE,6.77
2026-06-26,EXUS.DE,38.895
2026-06-27,U308.DE,11.756
2026-06-27,XDWT.DE,119.96
2026-06-27,ASWG.DE,6.85
2026-06-27,EXUS.DE,39.255
2026-06-28,U308.DE,11.756
2026-06-28,XDWT.DE,119.96
2026-06-28,ASWG.DE,6.85
2026-06-28,EXUS.DE,39.255
2026-06-29,U308.DE,11.506
2026-06-29,XDWT.DE,120.56
2026-06-29,ASWG.DE,7.057
2026-06-29,EXUS.DE,39.135
2026-06-30,U308.DE,11.702
2026-06-30,XDWT.DE,122.38
2026-06-30,ASWG.DE,7.161
2026-06-30,EXUS.DE,39.395
2026-07-01,U308.DE,11.808
2026-07-01,XDWT.DE,122.88
2026-07-01,ASWG.DE,7.305
2026-07-01,EXUS.DE,39.295
